Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000258367	CR383656.13	YME1-like 1 (S. cerevisiae) (YME1L1) pseudogene	transcribed unprocessed pseudogene	Chromosome 14: 18562928-18568790forward strand	-
ENSG00000240236	HNRNPA1P23	heterogeneous nuclear ribonucleoprotein A1 pseudogene 23 	processed pseudogene	Chromosome 3: 122317609-122318741forward strand	-
ENSG00000242102	RN7SL152P	"RNA, 7SL, cytoplasmic 152, pseudogene "	misc RNA	Chromosome 4: 140577925-140578222forward strand	-
ENSG00000278879	AP000560.1	TEC	TEC	Chromosome 11: 74830574-74832510reverse strand	-
ENSG00000267672	AC010632.2	novel transcript	lncRNA	Chromosome 19: 37091341-37092564forward strand	-
ENSG00000268987	AC011462.3	"novel transcript, sense intronic to BCKDHA"	lncRNA	Chromosome 19: 41399372-41400365forward strand	-
ENSG00000126550	HTN1	histatin 1 	protein coding	Chromosome 4: 70050438-70058848forward strand	-
ENSG00000228711	AC004006.1	pseudogene similar to part of anterior pharynx defective 1 homolog B (C. elegans) APH1B	processed pseudogene	Chromosome 7: 82657035-82657411forward strand	-
ENSG00000221083	AL096855.1	-	snoRNA	Chromosome 1: 8511795-8511919reverse strand	-
ENSG00000273598	AC211486.3	postmeiotic segregation increased 2 pseudogene 6	transcribed unprocessed pseudogene	Chromosome 7: 75316048-75327765reverse strand	-
ENSG00000215354	FAM90A24P	"family with sequence similarity 90 member A24, pseudogene "	transcribed unprocessed pseudogene	Chromosome 8: 8019429-8024652reverse strand	-
ENSG00000274446	AP001005.2	"polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa (POLR3K) pseudogene"	processed pseudogene	Chromosome 18: 94202-94330reverse strand	-
ENSG00000278281	MIR7856	microRNA 7856 	miRNA	Chromosome 1: 86357632-86357687reverse strand	-
ENSG00000267648	AC060766.4	DTW domain containing 2 (DTWD2) pseudogene	transcribed processed pseudogene	Chromosome 17: 35406948-35407818reverse strand	-
ENSG00000220204	AL035079.1	"pseudogene similar to part of DnaJ (Hsp40) homolog, subfamily A, member 2 DNAJA2"	processed pseudogene	Chromosome 11: 34404663-34404949reverse strand	-
ENSG00000176988	FMR1NB	FMR1 neighbor 	protein coding	Chromosome X: 147981337-148026665forward strand	-
ENSG00000108702	CCL1	C-C motif chemokine ligand 1 	protein coding	Chromosome 17: 34360328-34363233reverse strand	-
ENSG00000260436	AC093525.3	"novel transcript, antisense to PDPK1"	lncRNA	Chromosome 16: 2571570-2572353reverse strand	-
ENSG00000248118	LINC01019	long intergenic non-protein coding RNA 1019 	lncRNA	Chromosome 5: 3357264-3536094reverse strand	-
ENSG00000207862	MIR518B	microRNA 518b 	miRNA	Chromosome 19: 53702737-53702819forward strand	-
ENSG00000258377	AL139099.1	novel transcript	lncRNA	Chromosome 14: 49620815-49623480reverse strand	-
ENSG00000115844	DLX2	distal-less homeobox 2 	protein coding	Chromosome 2: 172099438-172102900reverse strand	-
ENSG00000271811	Z97200.1	novel transcript	lncRNA	Chromosome 1: 170667381-170669425forward strand	-
ENSG00000237139	RPS26P41	ribosomal protein S26 pseudogene 41 	processed pseudogene	Chromosome 10: 73537803-73538391forward strand	-
ENSG00000257966	OLA1P3	OLA1 pseudogene 3 	processed pseudogene	Chromosome 12: 55870048-55872602reverse strand	-
ENSG00000260947	AL356489.2	novel transcript	lncRNA	Chromosome 9: 33697459-33700986forward strand	-
ENSG00000267795	SMIM22	small integral membrane protein 22 	protein coding	Chromosome 16: 4788397-4796491forward strand	-
ENSG00000273701	AC109486.2	-	misc RNA	Chromosome 5: 60487713-60487929forward strand	-
ENSG00000090054	SPTLC1	serine palmitoyltransferase long chain base subunit 1 	protein coding	Chromosome 9: 92000087-92115413reverse strand	-
ENSG00000250612	AC114786.2	UDP glucuronosyltransferase 2 family pseudogene	processed pseudogene	Chromosome 4: 69346609-69358177forward strand	-
ENSG00000187736	NHEJ1	non-homologous end joining factor 1 	protein coding	Chromosome 2: 219069357-219160865reverse strand	-
ENSG00000280404	AC005086.5	-	pseudogene	Chromosome 7: 102161120-102161337reverse strand	-
ENSG00000267074	AC015911.3	"novel transcript, sense intronic SLFN12L"	lncRNA	Chromosome 17: 35499690-35510270reverse strand	-
ENSG00000263305	AP005530.1	novel transcript	lncRNA	Chromosome 18: 14195-16898reverse strand	-
ENSG00000214773	AC112512.1	"novel transcript, sense intronic SMARCC1"	lncRNA	Chromosome 3: 47601715-47604677reverse strand	-
ENSG00000256812	CAPNS2	calpain small subunit 2 	protein coding	Chromosome 16: 55566684-55567687forward strand	-
ENSG00000236261	AC064862.4	family with sequence similarity 27 (FAM27) pseudogene	unprocessed pseudogene	Chromosome 7: 57652875-57653208forward strand	-
ENSG00000259167	NMNAT1P1	NMNAT1 pseudogene 1 	processed pseudogene	Chromosome 14: 81032529-81033404forward strand	-
ENSG00000169325	GUSBP12	GUSB pseudogene 12 	unprocessed pseudogene	Chromosome 7: 57200825-57203597reverse strand	-
ENSG00000258421	FXNP1	frataxin pseudogene 1 	processed pseudogene	Chromosome 14: 78059942-78060278reverse strand	-
ENSG00000052841	TTC17	tetratricopeptide repeat domain 17 	protein coding	Chromosome 11: 43358920-43494933forward strand	-
ENSG00000280432	AP000962.2	TEC	TEC	Chromosome 21: 16525919-16527019forward strand	-
ENSG00000229205	LINC00200	long intergenic non-protein coding RNA 200 	lncRNA	Chromosome 10: 1159768-1289426forward strand	-
ENSG00000270664	AC010900.1	chromosome 18 open reading frame 32 (C18orf32) pseudogene	processed pseudogene	Chromosome 2: 202995194-202995403forward strand	-
ENSG00000220949	AC008543.2	novel zinc finger protein pseudogene	unprocessed pseudogene	Chromosome 19: 11756533-11759933reverse strand	-
ENSG00000267390	AC036176.1	"novel transcript, antisense to KDSR"	lncRNA	Chromosome 18: 63367328-63381629forward strand	-
ENSG00000272543	MIR4787	microRNA 4787 	miRNA	Chromosome 3: 50675080-50675163forward strand	-
ENSG00000249050	AC021242.1	DENN/MADD domain containing 4A (DENND4A) pseudogene	processed pseudogene	Chromosome 8: 9453698-9457418forward strand	-
ENSG00000250769	AC119751.5	coiled-coil domain containing 144 family (CCDC144) pseudogene	processed pseudogene	Chromosome 4: 49507764-49508806reverse strand	-
ENSG00000246394	ZNF84-DT	ZNF84 divergent transcript 	lncRNA	Chromosome 12: 133030389-133037222reverse strand	-
ENSG00000201671	RNA5SP90	"RNA, 5S ribosomal pseudogene 90 "	rRNA pseudogene	Chromosome 2: 31228312-31228410forward strand	-
ENSG00000279430	AL590560.4	novel transcript	TEC	Chromosome 1: 159910094-159910554reverse strand	-
ENSG00000175054	ATR	ATR serine/threonine kinase 	protein coding	Chromosome 3: 142449007-142578733reverse strand	-
ENSG00000254270	ERHP1	ERH pseudogene 1 	processed pseudogene	Chromosome 7: 139534240-139534549forward strand	-
ENSG00000101444	AHCY	adenosylhomocysteinase 	protein coding	Chromosome 20: 34280268-34311802reverse strand	-
ENSG00000279235	AC011944.2	tec	TEC	Chromosome 15: 78906127-78906809forward strand	-
ENSG00000115896	PLCL1	phospholipase C like 1 (inactive) 	protein coding	Chromosome 2: 197804593-198572581forward strand	-
ENSG00000187621	TCL6	T cell leukemia/lymphoma 6 	lncRNA	Chromosome 14: 95650498-95679833forward strand	-
ENSG00000199536	RNU6-315P	"RNA, U6 small nuclear 315, pseudogene "	snRNA	Chromosome 3: 170149845-170149951forward strand	-
ENSG00000213285	RPL23AP45	ribosomal protein L23a pseudogene 45 	processed pseudogene	Chromosome 5: 181471963-181472430forward strand	-
ENSG00000230137	AC004832.2	"solute carrier family 39 (zinc transporter), member 1 (SLC39A1) pseudogene"	processed pseudogene	Chromosome 22: 30439837-30440318forward strand	-
ENSG00000254260	AC015468.3	novel transcript	lncRNA	Chromosome 8: 20941428-20950175forward strand	-
ENSG00000267476	AC104365.1	"novel transcript, antisense to MALT1"	lncRNA	Chromosome 18: 58672613-58752730reverse strand	-
ENSG00000074803	SLC12A1	solute carrier family 12 member 1 	protein coding	Chromosome 15: 48178438-48304078forward strand	-
ENSG00000179335	CLK3	CDC like kinase 3 	protein coding	Chromosome 15: 74598500-74645414forward strand	-
ENSG00000203684	IBA57-DT	IBA57 divergent transcript 	lncRNA	Chromosome 1: 228164086-228165512reverse strand	-
ENSG00000165724	ZMYND19	zinc finger MYND-type containing 19 	protein coding	Chromosome 9: 137582081-137590512reverse strand	-
ENSG00000250866	AC022424.1	novel transcript	lncRNA	Chromosome 5: 5142138-5176214reverse strand	-
ENSG00000274475	RN7SL650P	"RNA, 7SL, cytoplasmic 650, pseudogene "	misc RNA	Chromosome 14: 21429508-21429806reverse strand	-
ENSG00000207818	MIR105-2	microRNA 105-2 	miRNA	Chromosome X: 152394412-152394492reverse strand	-
ENSG00000106484	MEST	mesoderm specific transcript 	protein coding	Chromosome 7: 130486171-130506465forward strand	-
ENSG00000197176	LINC02291	long intergenic non-protein coding RNA 2291 	lncRNA	Chromosome 14: 97632647-97686658reverse strand	-
ENSG00000237125	HAND2-AS1	HAND2 antisense RNA 1 	lncRNA	Chromosome 4: 173527270-173659696forward strand	-
ENSG00000233514	AL356653.1	small nuclear ribonucleoprotein D1 polypeptide 16kDa (SNRPD1) pseudogene	processed pseudogene	Chromosome 1: 44122153-44122512reverse strand	-
ENSG00000119042	SATB2	SATB homeobox 2 	protein coding	Chromosome 2: 199269500-199471266reverse strand	-
ENSG00000085872	CHERP	calcium homeostasis endoplasmic reticulum protein 	protein coding	Chromosome 19: 16517894-16542437reverse strand	-
ENSG00000071553	ATP6AP1	ATPase H+ transporting accessory protein 1 	protein coding	Chromosome X: 154428633-154436516forward strand	-
ENSG00000253156	H2AZP7	H2A.Z histone pseudogene 7 	processed pseudogene	Chromosome 8: 111621458-111621797reverse strand	-
ENSG00000253257	MTND4P7	MT-ND4 pseudogene 7 	processed pseudogene	Chromosome 8: 13353401-13353530reverse strand	-
ENSG00000131089	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9 	protein coding	Chromosome X: 63634967-63809274reverse strand	-
ENSG00000184787	UBE2G2	ubiquitin conjugating enzyme E2 G2 	protein coding	Chromosome 21: 44768580-44801826reverse strand	-
ENSG00000224488	SAMM50P1	SAMM50 sorting and assembly machinery component pseudogene 1 	processed pseudogene	Chromosome 9: 17447145-17448543reverse strand	-
ENSG00000281103	TRG-AS1	T cell receptor gamma locus antisense RNA 1 	lncRNA	Chromosome 7: 38341577-38378804forward strand	-
ENSG00000272588	AC139887.4	"novel transcript, antisense to PCGF3"	lncRNA	Chromosome 4: 757022-757740reverse strand	-
ENSG00000231414	RPL39P15	ribosomal protein L39 pseudogene 15 	processed pseudogene	Chromosome 2: 70253855-70254010reverse strand	-
ENSG00000256436	TAS2R31	taste 2 receptor member 31 	protein coding	Chromosome 12: 11030387-11031407reverse strand	-
ENSG00000229291	LINC02768	long intergenic non-protein coding RNA 2768 	lncRNA	Chromosome 1: 235957879-235971825reverse strand	-
ENSG00000125888	BANF2	BANF family member 2 	protein coding	Chromosome 20: 17693672-17735871forward strand	-
ENSG00000260469	INSYN1-AS1	INSYN1 antisense RNA 1 	lncRNA	Chromosome 15: 73752317-73770613forward strand	-
ENSG00000160563	MED27	mediator complex subunit 27 	protein coding	Chromosome 9: 131852928-132079867reverse strand	-
ENSG00000277045	-	-	-	-	-
ENSG00000211765	TRBJ2-2	T cell receptor beta joining 2-2 	TR J gene	Chromosome 7: 142796560-142796610forward strand	-
ENSG00000176171	BNIP3	BCL2 interacting protein 3 	protein coding	Chromosome 10: 131966455-131982013reverse strand	-
ENSG00000127527	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1 	protein coding	Chromosome 19: 16355239-16472085reverse strand	-
ENSG00000184507	NUTM1	NUT midline carcinoma family member 1 	protein coding	Chromosome 15: 34343315-34357737forward strand	-
ENSG00000083812	ZNF324	zinc finger protein 324 	protein coding	Chromosome 19: 58467045-58475436forward strand	-
ENSG00000277360	-	-	-	-	-
ENSG00000135736	CCDC102A	coiled-coil domain containing 102A 	protein coding	Chromosome 16: 57512181-57536571reverse strand	-
ENSG00000254924	AP000867.2	S100 calcium binding protein A11 (S100A11) pseudogene	processed pseudogene	Chromosome 11: 71506061-71506380reverse strand	-
ENSG00000267515	AP001029.3	high mobility group box 3 (HMGB3) pseudogene	processed pseudogene	Chromosome 18: 12450447-12451042forward strand	-
ENSG00000273724	AC106782.4	"carbonic anhydrase VA, mitochondrial (CA5A) pseudogene"	unprocessed pseudogene	Chromosome 16: 30336400-30343336forward strand	-
ENSG00000253334	AC132219.1	"novel transcript, antisense to SNX16"	lncRNA	Chromosome 8: 81791823-81815714forward strand	-
ENSG00000227603	-	-	-	-	-
ENSG00000233643	LINC02625	long intergenic non-protein coding RNA 2625 	lncRNA	Chromosome 10: 61781745-61821246reverse strand	-
ENSG00000218499	AL031003.1	pseudogene similar to Mus musculus upregulated during skeletal muscle growth 5 Usmg5	processed pseudogene	Chromosome 6: 138393373-138393544forward strand	-
ENSG00000212297	RNU6-821P	"RNA, U6 small nuclear 821, pseudogene "	snRNA	Chromosome 3: 198071311-198071417reverse strand	-
ENSG00000219253	RPS6P7	ribosomal protein S6 pseudogene 7 	processed pseudogene	Chromosome 6: 77496119-77496671forward strand	-
ENSG00000248837	AC097512.1	novel transcript	lncRNA	Chromosome 4: 22989147-23193740forward strand	-
ENSG00000221359	-	-	-	-	-
ENSG00000200361	Y_RNA	Y RNA 	misc RNA	Chromosome 3: 106688678-106688779forward strand	-
ENSG00000207721	MIR186	microRNA 186 	miRNA	Chromosome 1: 71067631-71067716reverse strand	-
ENSG00000162851	TFB2M	"transcription factor B2, mitochondrial "	protein coding	Chromosome 1: 246540561-246566261reverse strand	-
ENSG00000128567	PODXL	podocalyxin like 	protein coding	Chromosome 7: 131500262-131558217reverse strand	-
ENSG00000253552	HOXA-AS2	HOXA cluster antisense RNA 2 	lncRNA	Chromosome 7: 27107777-27134302forward strand	-
ENSG00000236612	KRTAP19-11P	"keratin associated protein 19-11, pseudogene "	unprocessed pseudogene	Chromosome 21: 30537278-30537381reverse strand	-
ENSG00000223009	-	-	-	-	-
ENSG00000171130	ATP6V0E2	ATPase H+ transporting V0 subunit e2 	protein coding	Chromosome 7: 149872968-149891204forward strand	-
ENSG00000238082	NUDCP2	nuclear distribution C pseudogene 2 	processed pseudogene	Chromosome 2: 178454716-178455428forward strand	-
ENSG00000259518	LINC01583	long intergenic non-protein coding RNA 1583 	lncRNA	Chromosome 15: 82088569-82097694forward strand	-
ENSG00000236703	MYB-AS1	MYB antisense RNA 1 	lncRNA	Chromosome 6: 135195083-135195995reverse strand	-
ENSG00000217178	AL357563.1	"family with sequence similarity 136, member A (FAM136A) pseudogene"	processed pseudogene	Chromosome 6: 74282266-74282660forward strand	-
ENSG00000223688	RPS24P14	ribosomal protein S24 pseudogene 14 	processed pseudogene	Chromosome 11: 3559657-3560022forward strand	-
ENSG00000101940	WDR13	WD repeat domain 13 	protein coding	Chromosome X: 48590042-48608869forward strand	-
ENSG00000215544	BCRP7	BCR pseudogene 7 	unprocessed pseudogene	Chromosome 22: 18855621-18858640reverse strand	-
ENSG00000167580	AQP2	aquaporin 2 	protein coding	Chromosome 12: 49950737-49958878forward strand	-
ENSG00000229376	CICP3	capicua transcriptional repressor pseudogene 3 	processed pseudogene	Chromosome 1: 722092-724903forward strand	-
ENSG00000264922	MIR4540	microRNA 4540 	miRNA	Chromosome 9: 36864254-36864308reverse strand	-
ENSG00000233653	CICP7	capicua transcriptional repressor pseudogene 7 	processed pseudogene	Chromosome 1: 487101-489906forward strand	-
ENSG00000100385	IL2RB	interleukin 2 receptor subunit beta 	protein coding	Chromosome 22: 37125843-37175054reverse strand	-
ENSG00000221407	-	-	-	-	-
ENSG00000184343	SRPK3	SRSF protein kinase 3 	protein coding	Chromosome X: 153776412-153785732forward strand	-
ENSG00000228323	MYADM-AS1	MYADM antisense RNA 1 	lncRNA	Chromosome 19: 53854581-53869107reverse strand	-
ENSG00000221516	-	-	-	-	-
ENSG00000127472	PLA2G5	phospholipase A2 group V 	protein coding	Chromosome 1: 20028179-20091911forward strand	-
ENSG00000259543	AC060809.1	novel transcript	lncRNA	Chromosome 15: 81427448-81755217forward strand	-
ENSG00000102221	JADE3	jade family PHD finger 3 	protein coding	Chromosome X: 46912276-47061242forward strand	-
ENSG00000271349	AC007992.1	"tubulin, beta class I (TUBB) pseudogene"	processed pseudogene	Chromosome 8: 96126967-96127801reverse strand	-
ENSG00000129562	DAD1	defender against cell death 1 	protein coding	Chromosome 14: 22564907-22589224reverse strand	-
ENSG00000197614	MFAP5	microfibril associated protein 5 	protein coding	Chromosome 12: 8637346-8662888reverse strand	-
ENSG00000108510	MED13	mediator complex subunit 13 	protein coding	Chromosome 17: 61942605-62065278reverse strand	-
ENSG00000255599	AP000997.2	novel transcript	lncRNA	Chromosome 11: 115628065-115629743forward strand	-
ENSG00000260269	AC105036.3	novel transcript	lncRNA	Chromosome 15: 75527150-75601205reverse strand	-
ENSG00000235749	AL390860.1	"novel transcript, antisense to OR13G1, OR6F1 and OR14A2"	lncRNA	Chromosome 1: 247639630-247761255forward strand	-
ENSG00000215409	AL355493.1	pseudogene similar to part of breast cancer antigen NY-BR-1 (NY-BR-1)	unprocessed pseudogene	Chromosome 10: 27331357-27341252reverse strand	-
ENSG00000258643	BCL2L2-PABPN1	BCL2L2-PABPN1 readthrough 	protein coding	Chromosome 14: 23306833-23326175forward strand	-
ENSG00000206147	RPL23AP57	ribosomal protein L23a pseudogene 57 	processed pseudogene	Chromosome 9: 6639139-6639604forward strand	-
ENSG00000258588	TRIM6-TRIM34	TRIM6-TRIM34 readthrough 	protein coding	Chromosome 11: 5596725-5644398forward strand	-
ENSG00000240122	FABP5P11	fatty acid binding protein 5 pseudogene 11 	processed pseudogene	Chromosome 22: 16595089-16595485reverse strand	-
ENSG00000252267	RNA5SP495	"RNA, 5S ribosomal pseudogene 495 "	rRNA pseudogene	Chromosome 22: 26390667-26390776reverse strand	-
ENSG00000274103	-	-	-	-	-
ENSG00000111196	MAGOHB	"mago homolog B, exon junction complex subunit "	protein coding	Chromosome 12: 10604193-10613609reverse strand	-
ENSG00000259672	AC087612.1	novel transcript	lncRNA	Chromosome 15: 63091085-63110589forward strand	-
ENSG00000163482	STK36	serine/threonine kinase 36 	protein coding	Chromosome 2: 218672069-218702716forward strand	-
